"Year" "Stocks" "Price"
"1" 1991 17.56 446
"2" 1992 14.1 477
"3" 1993 9.72 584
"4" 1994 4.97 781
"5" 1995 2.52 1118
"6" 1996 5.93 1173
"7" 1997 7.74 927
"8" 1998 5.32 1003
"9" 1999 3.78 874
"10" 2000 5.81 898
"11" 2001 4.82 1068
"12" 2002 23 757
"13" 2003 24.73 1106.31788
"14" 2004 30.33 1455.53894
"15" 2005 40.2 1215.5
"16" 2006 42.3 1092
"17" 2007 28.65 1257
"18" 2008 22.44 1747
"19" 2009 14.17 1620
"20" 2010 20.59 2124
"21" 2011 16.37 1899
"22" 2012 10.1 2002.5
"23" 2013 5.52 2930
"24" 2014 5.47 2327
"25" 2015 8.77 2241
