"P.assets"	"Age"
"1"	2.261	34
"2"	5.507	43
"3"	9.604	48
"4"	0.195	34
"5"	3.005	27
"6"	3.997	49
"7"	2.008	32
"8"	4.228	41
"9"	1.192	26
"10"	4.972	34
"11"	3.115	27
"12"	4.567	32
"13"	3.584	31
"14"	0.253	27
"15"	0.713	40
"16"	8.633	42
"17"	4.242	46
"18"	1.305	29
"19"	1.418	33
"20"	0.631	23
"21"	8.325	47
"22"	3.826	31
"23"	0.578	26
"24"	3.875	40
"25"	0.437	30
"26"	14.855	65
"27"	3.666	32
"28"	5.709	43
"29"	4.883	42
"30"	7.719	38
"31"	1.907	27
"32"	1.009	30
"33"	5.024	43
"34"	3.83	37
"35"	0.889	24
"36"	0.292	32
"37"	1.246	27
"38"	6.235	47
"39"	0.591	26
"40"	4.929	35
"41"	5.224	39
"42"	3.778	29
"43"	3.999	29
"44"	2.792	29
"45"	0.633	26
"46"	0.369	26
"47"	0.127	25
"48"	3.624	39
"49"	0.377	23
"50"	0.459	24
"51"	5.678	39
"52"	3.423	41
"53"	2.388	36
