"Cost"	"Widgets"
"1"	2224	1500
"2"	1660	800
"3"	2152	1500
"4"	2775	1400
"5"	1602	900
"6"	1119	800
"7"	2459	1400
"8"	2298	1400
"9"	2386	1300
"10"	2328	1400
"11"	1033	700
"12"	1492	1000
"13"	1685	1200
"14"	2203	1200
"15"	1851	900
"16"	1595	1200
"17"	3049	1700
"18"	2652	1600
"19"	1998	1200
"20"	2694	1400
"21"	2393	1400
"22"	1837	1000
"23"	2155	1200
"24"	1428	800
"25"	1690	1000
"26"	2339	1400
"27"	2172	1400
"28"	2174	1500
"29"	2462	1500
"30"	2508	1600
"31"	3251	1700
"32"	1326	900
"33"	1569	800
"34"	2098	1300
"35"	1424	1000
"36"	2436	1600
"37"	1644	900
"38"	2401	1300
"39"	2417	1600
"40"	1260	1000
