Fiscal year,Ticker,SHORT NAME,Audit fees,Non audit fees,Total fees,Benefits fees,It fees,Tax fees,Audit related fees,Other fees,Restatement,Auditor name,ShrOut,BalSheetBookVal,Matchfy balsh book value,Matchfy balsh total assets,Matchfy balsh cash and cash equivalents
2012,AEO,AMER EAGLE OUTFITTERS,1141200,289510,1430710,0,0,287510,2000,0,0,Ernst & Young LLP,193747000,1365550000,1365550000,1950802000,719545000
2005,AEO,AMER EAGLE OUTFITTERS,895690,3000,898690,0,0,0,3000,0,0,Ernst & Young LLP,73385000,935096000,935096000,1293659000,275061000
2011,AEO,AMER EAGLE OUTFITTERS,1090000,273075,1363080,0,0,271080,1995,0,1,Ernst & Young LLP,194366000,1332114000,1332114000,1879998000,667593000
2014,AEO,AMER EAGLE OUTFITTERS,1193000,316606,1509610,0,0,295106,19500,2000,0,Ernst & Young LLP,193149000,1103377000,1103377000,1694164000,418933000
2003,AEO,AMER EAGLE OUTFITTERS,190000,130500,320500,0,0,0,0,130500,0,Ernst & Young LLP,71187000,531500000,531500000,741339000,194526000
2010,AEO,AMER EAGLE OUTFITTERS,1086800,1995,1088800,0,0,0,1995,0,0,Ernst & Young LLP,207773000,1567307000,1567307000,2138148000,693960000
2007,AEO,AMER EAGLE OUTFITTERS,979369,70030,1049400,0,0,66030,4000,0,0,Ernst & Young LLP,221284000,1407362000,1407362000,1987484000,59737000
2002,AEO,AMER EAGLE OUTFITTERS,176000,423300,599300,0,0,219600,203700,0,0,Ernst & Young LLP,71879000,478086000,478086000,672721000,180398000
2001,AEO,AMER EAGLE OUTFITTERS,159900,1108400,1268300,0,0,0,326700,781700,0,Ernst & Young LLP,69258000,343915000,343915000,543046000,133446000
2009,AEO,AMER EAGLE OUTFITTERS,1106160,95725,1201880,0,0,93730,1995,0,0,Ernst & Young LLP,206080000,1398325000,1398325000,1963676000,473342000
2015,AEO,AMER EAGLE OUTFITTERS,1446600,416153,1862750,0,0,356993,57160,2000,0,Ernst & Young LLP,194491000,1079444000,1079444000,1696908000,410697000
2008,AEO,AMER EAGLE OUTFITTERS,1020960,357500,1378460,0,0,262000,95500,0,0,Ernst & Young LLP,204480000,1328985000,1328985000,1867680000,116061000
2006,AEO,AMER EAGLE OUTFITTERS,942649,3000,945649,0,0,0,3000,0,0,Ernst & Young LLP,149490000,1145602000,1145602000,1605649000,130529000
2004,AEO,AMER EAGLE OUTFITTERS,373650,0,373650,0,0,0,0,0,0,Ernst & Young LLP,71184000,633534000,633534000,865071000,251324000
2013,AEO,AMER EAGLE OUTFITTERS,1166500,312686,1479190,0,0,251186,59500,2000,0,Ernst & Young LLP,198027000,1171567000,1171567000,1756053000,509119000
2015,ANF,ABERCROMBIE & FITCH,3283250,41353,3324610,0,0,15295,18000,8058,0,PricewaterhouseCoopers LLP,69336000,1389701000,1389701000,2505167000,520708000
2013,ANF,ABERCROMBIE & FITCH,2587180,5651,2592830,0,0,5651,0,0,0,PricewaterhouseCoopers LLP,79563000,1818268000,1818268000,2987401000,643505000
2011,ANF,ABERCROMBIE & FITCH,1206500,5000,1211500,0,0,0,5000,0,1,PricewaterhouseCoopers LLP,87846000,1890784000,1890784000,2941415000,826353000
2009,ANF,ABERCROMBIE & FITCH,1110880,233781,1344660,0,0,40000,131600,62181,0,PricewaterhouseCoopers LLP,87053000,1845578000,1845578000,2848181000,522122000
2008,ANF,ABERCROMBIE & FITCH,883200,108666,991866,0,0,20000,0,88666,1,PricewaterhouseCoopers LLP,86159000,1618313000,1618313000,2567598000,118044000
2001,ANF,ABERCROMBIE & FITCH,170000,451763,621763,0,0,0,0,451763,0,PricewaterhouseCoopers LLP,99083000,422700000,422700000,587516000,137581000
2010,ANF,ABERCROMBIE & FITCH,1180740,22271,1203010,0,0,11800,7000,3471,0,PricewaterhouseCoopers LLP,87983000,1827917000,1827917000,2821866000,669950000
2007,ANF,ABERCROMBIE & FITCH,967600,138400,1106000,0,0,22100,17700,98600,0,PricewaterhouseCoopers LLP,88300000,1405297000,1405297000,2248067000,81959000
2005,ANF,ABERCROMBIE & FITCH,1036000,127600,1163600,0,0,31400,16000,80200,1,PricewaterhouseCoopers LLP,86037057,669326000,669326000,1347701000,350368000
2014,ANF,ABERCROMBIE & FITCH,2653850,7864,2661710,0,0,6064,1800,0,1,PricewaterhouseCoopers LLP,76399000,1729493000,1729493000,2850997000,600116000
2012,ANF,ABERCROMBIE & FITCH,1487630,108100,1595730,0,0,75300,32800,0,1,PricewaterhouseCoopers LLP,85961000,1931335000,1931335000,3117032000,583495000
2006,ANF,ABERCROMBIE & FITCH,800400,138500,938900,0,0,48300,21100,69100,0,PricewaterhouseCoopers LLP,87726211,995117000,995117000,1789718000,50687000
2003,ANF,ABERCROMBIE & FITCH,261050,50750,311800,0,0,0,0,50750,1,PricewaterhouseCoopers LLP,97268877,749527000,749527000,994822000,391035000
2004,ANF,ABERCROMBIE & FITCH,334100,175800,509900,0,0,22000,66800,87000,0,PricewaterhouseCoopers LLP,94607499,857765000,857765000,1383229000,56373000
2002,ANF,ABERCROMBIE & FITCH,186000,302875,488875,0,0,302875,0,0,0,PricewaterhouseCoopers LLP,98873000,595434000,595434000,770546000,167664000
2003,ARO,AEROPOSTALE,268000,1178000,1446000,0,0,0,0,1178000,0,Deloitte & Touche LLP,52932534,127959000,127959000,223032000,87475000
2014,ARO,AEROPOSTALE,1853000,124000,1977000,0,0,32000,92000,0,0,Deloitte & Touche LLP,78494000,252112000,252112000,647641000,106517000
2012,ARO,AEROPOSTALE,902500,105300,1007800,0,0,11300,94000,0,0,Deloitte & Touche LLP,80750000,409434000,409434000,735233000,223712000
2013,ARO,AEROPOSTALE,1167000,363000,1530000,0,0,24000,339000,0,0,Deloitte & Touche LLP,78267000,381032000,381032000,740844000,231501000
2011,ARO,AEROPOSTALE,815300,424600,1239900,0,0,332000,92600,0,0,Deloitte & Touche LLP,87969000,432637000,432637000,773197000,265553000
2010,ARO,AEROPOSTALE,822000,113300,935300,0,0,25400,87900,0,0,Deloitte & Touche LLP,99097000,434489000,434489000,792309000,346976000
2008,ARO,AEROPOSTALE,953000,102000,1055000,0,0,21000,55000,26000,0,Deloitte & Touche LLP,66684000,197276000,197276000,514169000,111927000
2015,ARO,AEROPOSTALE,2291000,568000,2859000,0,0,467000,101000,0,0,Deloitte & Touche LLP,79123000,70824000,70824000,512189000,151750000
2007,ARO,AEROPOSTALE,734000,137000,871000,0,0,31000,35000,71000,1,Deloitte & Touche LLP,77429000,310716000,310716000,581164000,200064000
2006,ARO,AEROPOSTALE,828000,78000,906000,0,0,45000,33000,0,0,Deloitte & Touche LLP,54050000,282335000,282335000,503951000,205235000
2005,ARO,AEROPOSTALE,771000,189000,960000,0,0,122000,67000,0,0,Deloitte & Touche LLP,55366000,235722000,235722000,405819000,106128000
2009,ARO,AEROPOSTALE,922500,130378,1052880,0,0,40778,89600,0,0,Deloitte & Touche LLP,66930000,355060000,355060000,657919000,228530000
2004,ARO,AEROPOSTALE,330000,455000,785000,0,0,217000,238000,0,0,Deloitte & Touche LLP,56766117,185693000,185693000,307048000,138356000
2014,BKE,BUCKLE,394000,157350,551350,0,0,134650,22700,0,0,Deloitte & Touche LLP,48331000,361930000,361930000,546293000,164868000
2013,BKE,BUCKLE,382500,149592,532092,0,0,123592,26000,0,0,Deloitte & Touche LLP,48049000,289649000,289649000,477974000,117608000
2011,BKE,BUCKLE,372800,309414,682214,0,0,284639,24775,0,0,Deloitte & Touche LLP,46739000,345665000,345665000,494844000,116470000
2010,BKE,BUCKLE,371500,48109,419609,0,0,26834,21275,0,0,Deloitte & Touche LLP,46295000,354259000,354259000,488903000,135340000
2009,BKE,BUCKLE,404250,46783,451033,0,0,19783,27000,0,0,Deloitte & Touche LLP,46150000,337222000,337222000,465340000,162463000
2015,BKE,BUCKLE,431000,78450,509450,0,0,56450,22000,0,0,Deloitte & Touche LLP,48380000,355278000,355278000,542993000,133708000
2006,BKE,BUCKLE,400000,29145,429145,0,0,16245,12900,0,0,Deloitte & Touche LLP,28994232,299793000,299793000,374266000,23438000
2007,BKE,BUCKLE,340000,63875,403875,20000,0,43875,0,0,0,Deloitte & Touche LLP,29409000,286587000,286587000,368198000,35752000
2005,BKE,BUCKLE,458000,96100,554100,0,0,20385,75715,0,0,Deloitte & Touche LLP,32511256,332928000,332928000,405543000,173897000
2012,BKE,BUCKLE,382500,145225,527725,0,0,119025,26200,0,0,Deloitte & Touche LLP,47423000,363147000,363147000,531539000,166511000
2004,BKE,BUCKLE,128410,91681,220091,0,0,41816,49865,0,0,Deloitte & Touche LLP,32210369,293845000,293845000,356222000,119976000
2003,BKE,BUCKLE,94600,57129,151729,0,0,49129,8000,0,0,Deloitte & Touche LLP,31552330,264672000,264672000,299800000,92976000
2001,BKE,BUCKLE,59675,15820,75495,0,0,0,0,15820,0,Deloitte & Touche LLP,30552709,194066000,194066000,230533000,69155000
2008,BKE,BUCKLE,360000,71397,431397,23200,0,48197,0,0,0,Deloitte & Touche LLP,44740000,338320000,338320000,450657000,64293000
2002,BKE,BUCKLE,61120,16650,77770,0,0,0,0,16650,0,Deloitte & Touche LLP,31657478,233702000,233702000,264657000,101915000
2004,CATO,CATO,27484,37857,65341,0,0,2857,0,35000,1,Deloitte & Touche LLP,20001000,194111000,194111000,351573000,23857000
2004,CATO,CATO,165000,122330,287330,0,0,32330,65000,25000,0,PricewaterhouseCoopers LLP,20001000,194111000,194111000,351573000,23857000
2003,CATO,CATO,213050,296936,509986,0,162736,0,0,134200,0,Deloitte & Touche LLP,19448000,270164000,270164000,383410000,32065000
2002,CATO,CATO,208800,191130,399930,76300,0,114830,0,0,0,Deloitte & Touche LLP,19371000,234698000,234698000,332041000,41772000
