"Pref"	"Complex"
"1"	19	19
"2"	15	26
"3"	25	18
"4"	25	23
"5"	18	18
"6"	19	16
"7"	17	21
"8"	15	21
"9"	16	27
"10"	15	19
"11"	16	19
"12"	21	23
"13"	12	22
"14"	13	22
"15"	22	22
"16"	20	22
"17"	15	23
"18"	13	25
"19"	14	19
"20"	18	23
"21"	21	17
"22"	14	30
"23"	25	20
"24"	16	21
"25"	21	19
"26"	11	21
"27"	15	19
"28"	16	12
"29"	22	16
"30"	2	1
"31"	14	19
"32"	15	22
"33"	9	19
"34"	21	20
"35"	15	14
"36"	10	23
"37"	16	20
"38"	14	12
"39"	19	17
"40"	6	14
"41"	19	23
"42"	19	32
"43"	16	16
"44"	7	27
"45"	15	17
"46"	15	22
"47"	17	23
"48"	16	24
"49"	20	30
"50"	16	16
"51"	9	20
"52"	14	20
"53"	12	20
"54"	16	14
"55"	9	15
"56"	16	15
"57"	21	12
"58"	14	36
"59"	8	15
"60"	16	20
"61"	19	23
"62"	13	26
"63"	19	13
"64"	18	27
"65"	12	20
"66"	14	21
"67"	18	18
"68"	25	18
"69"	12	18
"70"	7	3
"71"	16	13
"72"	14	21
"73"	20	21
"74"	23	14
"75"	15	21
"76"	12	20
"77"	18	18
"78"	17	11
"79"	15	13
"80"	11	14
"81"	18	21
"82"	12	17
"83"	26	16
"84"	22	21
"85"	16	29
"86"	17	12
"87"	7	7
"88"	19	28
"89"	15	15
"90"	19	22
"91"	12	12
"92"	19	18
"93"	16	20
"94"	30	25
"95"	18	20
"96"	14	24
"97"	7	17
"98"	21	17
"99"	17	27
"100"	26	19
"101"	16	31
"102"	18	17
"103"	16	11
"104"	18	26
"105"	12	16
"106"	24	23
"107"	15	20
"108"	27	19
"109"	11	12
"110"	18	19
"111"	23	23
"112"	24	25
"113"	14	18
"114"	13	16
"115"	19	29
"116"	6	24
"117"	12	25
"118"	15	21
"119"	18	22
"120"	10	20
"121"	20	23
"122"	14	22
"123"	20	24
"124"	23	18
"125"	15	13
"126"	18	17
"127"	17	13
"128"	17	26
"129"	16	22
"130"	13	16
"131"	22	21
"132"	18	25
"133"	18	15
"134"	14	8
"135"	12	8
"136"	10	19
"137"	9	24
"138"	22	15
"139"	16	23
"140"	17	26
"141"	11	22
"142"	18	19
"143"	16	17
"144"	15	17
"145"	14	15
"146"	15	18
"147"	22	25
"148"	26	17
"149"	13	19
"150"	22	23
"151"	18	23
"152"	16	18
"153"	20	18
"154"	16	18
"155"	21	19
"156"	10	28
"157"	27	20
"158"	20	9
"159"	21	23
"160"	16	12
"161"	17	17
"162"	4	16
"163"	23	19
"164"	11	28
"165"	22	18
"166"	19	16
"167"	15	15
"168"	15	24
"169"	17	17
"170"	30	23
"171"	15	17
"172"	23	21
"173"	16	16
"174"	22	22
"175"	16	16
"176"	14	23
"177"	30	20
"178"	14	17
"179"	19	19
"180"	9	23
"181"	22	21
"182"	18	14
"183"	18	18
"184"	20	28
"185"	19	22
"186"	25	27
"187"	17	18
"188"	14	15
"189"	10	21
"190"	14	22
"191"	21	23
"192"	23	20
"193"	17	19
"194"	11	18
"195"	17	15
"196"	22	16
"197"	14	24
"198"	19	17
"199"	18	19
"200"	12	15
"201"	14	11
"202"	17	11
"203"	27	19
