"id" "heduc" "heblack" "mixed" "years" "div"
"1" 9 "12-15 years" "No" "No" 10.5459995269775 "No"
"2" 11 "< 12 years" "No" "No" 34.943000793457 "No"
"3" 13 "< 12 years" "No" "No" 2.83400011062622 "Yes"
"4" 15 "< 12 years" "No" "No" 17.5319995880127 "Yes"
"5" 33 "12-15 years" "No" "No" 1.41799998283386 "No"
"6" 36 "< 12 years" "No" "No" 48.0330009460449 "No"
"7" 43 "16+ years" "No" "No" 16.7059993743896 "No"
"8" 47 "< 12 years" "No" "No" 24.9990005493164 "No"
"9" 50 "< 12 years" "No" "No" 24.9990005493164 "No"
"10" 56 "< 12 years" "Yes" "No" 3.86899995803833 "No"
"11" 63 "12-15 years" "Yes" "No" 7.73199987411499 "No"
"12" 66 "12-15 years" "No" "No" 5.21049976348877 "Yes"
"13" 70 "12-15 years" "No" "No" 15.4440002441406 "No"
"14" 77 "16+ years" "No" "No" 4.08500003814697 "No"
"15" 80 "< 12 years" "No" "No" 17.3330001831055 "No"
"16" 84 "12-15 years" "No" "No" 16.3309993743896 "No"
"17" 87 "12-15 years" "No" "No" 35.3349990844727 "No"
"18" 90 "< 12 years" "No" "No" 37.6699981689453 "No"
"19" 91 "12-15 years" "No" "No" 19.1865005493164 "Yes"
"20" 94 "12-15 years" "No" "No" 22.69700050354 "No"
"21" 109 "< 12 years" "No" "No" 50.7760009765625 "No"
"22" 111 "< 12 years" "No" "No" 37.4949989318848 "No"
"23" 114 "< 12 years" "No" "No" 30.738000869751 "No"
"24" 116 "< 12 years" "No" "No" 48.6539993286133 "No"
"25" 118 "< 12 years" "No" "No" 33.023998260498 "No"
"26" 120 "< 12 years" "No" "No" 36.6679992675781 "No"
"27" 122 "16+ years" "No" "No" 27.992000579834 "No"
"28" 124 "16+ years" "No" "No" 27.7889995574951 "No"
"29" 128 "12-15 years" "No" "No" 3.25250005722046 "Yes"
"30" 129 "12-15 years" "No" "No" 5.67000007629395 "Yes"
"31" 137 "< 12 years" "No" "No" 17.9990005493164 "No"
"32" 139 "< 12 years" "No" "No" 7.59749984741211 "Yes"
"33" 141 "< 12 years" "No" "No" 1.79100000858307 "No"
"34" 145 "< 12 years" "No" "No" 2.47499990463257 "No"
"35" 148 "12-15 years" "No" "No" 35.9589996337891 "No"
"36" 153 "12-15 years" "No" "No" 13.1359996795654 "No"
"37" 160 "12-15 years" "No" "No" 5.71700000762939 "No"
"38" 162 "12-15 years" "No" "No" 5.71700000762939 "No"
"39" 164 "12-15 years" "No" "No" 26.2779998779297 "No"
"40" 165 "12-15 years" "No" "No" 4.33099985122681 "Yes"
"41" 166 "< 12 years" "No" "No" 8.89299964904785 "No"
"42" 170 "12-15 years" "No" "No" 15.7430000305176 "No"
"43" 183 "< 12 years" "No" "No" 4.6710000038147 "Yes"
"44" 194 "< 12 years" "No" "No" 48.3559989929199 "No"
"45" 196 "< 12 years" "No" "No" 39.3320007324219 "No"
"46" 199 "< 12 years" "No" "No" 39.3320007324219 "No"
"47" 212 "12-15 years" "No" "No" 61.5250015258789 "No"
"48" 214 "12-15 years" "No" "No" 12.9989995956421 "No"
"49" 219 "12-15 years" "No" "No" 14.8170003890991 "No"
"50" 221 "< 12 years" "No" "No" 33.7550010681152 "Yes"
"51" 223 "< 12 years" "No" "No" 56.9990005493164 "No"
"52" 226 "12-15 years" "No" "No" 3.60599994659424 "No"
"53" 228 "< 12 years" "No" "No" 3.60599994659424 "No"
"54" 230 "< 12 years" "Yes" "No" 16.9990005493164 "No"
"55" 232 "< 12 years" "Yes" "No" 42.0149993896484 "Yes"
"56" 234 "12-15 years" "No" "No" 37.8370018005371 "No"
"57" 237 "12-15 years" "Yes" "No" 18.1599998474121 "No"
"58" 245 "12-15 years" "No" "No" 18.0179996490479 "No"
"59" 254 "12-15 years" "No" "No" 13.6669998168945 "Yes"
"60" 258 "12-15 years" "No" "No" 3.58400011062622 "Yes"
"61" 264 "< 12 years" "No" "No" 2.50200009346008 "Yes"
"62" 268 "16+ years" "No" "No" 14.7135000228882 "Yes"
"63" 271 "< 12 years" "No" "No" 35.931999206543 "No"
"64" 275 "16+ years" "No" "No" 13.8640003204346 "No"
"65" 280 "12-15 years" "No" "No" 25.8015003204346 "Yes"
"66" 287 "< 12 years" "No" "No" 14.3494997024536 "Yes"
"67" 289 "< 12 years" "No" "No" 57.5060005187988 "No"
"68" 293 "12-15 years" "No" "No" 7.91499996185303 "Yes"
"69" 295 "< 12 years" "No" "No" 7.16200017929077 "No"
"70" 298 "16+ years" "No" "No" 41.9710006713867 "No"
"71" 300 "16+ years" "No" "No" 12.9910001754761 "No"
"72" 302 "12-15 years" "No" "No" 18.3355007171631 "Yes"
"73" 305 "12-15 years" "No" "No" 18.8090000152588 "No"
"74" 310 "< 12 years" "No" "No" 1.8639999628067 "No"
"75" 312 "12-15 years" "No" "No" 53.0839996337891 "No"
"76" 315 "12-15 years" "No" "No" 17.2894992828369 "Yes"
"77" 320 "12-15 years" "No" "No" 32.1669998168945 "Yes"
"78" 325 "12-15 years" "No" "No" 18.3379993438721 "No"
"79" 329 "12-15 years" "No" "No" 23.4689998626709 "No"
"80" 331 "16+ years" "No" "No" 34.7620010375977 "No"
"81" 333 "12-15 years" "No" "No" 4.43249988555908 "Yes"
"82" 336 "12-15 years" "No" "No" 19.0809993743896 "No"
"83" 339 "< 12 years" "No" "No" 35.8465003967285 "Yes"
"84" 341 "12-15 years" "No" "No" 7.24700021743774 "Yes"
"85" 342 "12-15 years" "No" "No" 28.1509990692139 "No"
"86" 344 "12-15 years" "No" "No" 15.9975004196167 "Yes"
"87" 346 "< 12 years" "No" "No" 2.21250009536743 "Yes"
"88" 350 "16+ years" "No" "No" 8.78899955749512 "No"
"89" 351 "16+ years" "No" "No" 8.78899955749512 "No"
"90" 353 "16+ years" "No" "No" 17.9990005493164 "No"
"91" 357 "16+ years" "No" "No" 14.0839996337891 "No"
"92" 362 "< 12 years" "No" "No" 27.0090007781982 "No"
"93" 364 "< 12 years" "Yes" "No" 42.3129997253418 "No"
"94" 370 "< 12 years" "No" "No" 9.0019998550415 "No"
"95" 372 "< 12 years" "No" "No" 35.0009994506836 "No"
"96" 375 "< 12 years" "No" "No" 35.0009994506836 "No"
"97" 377 "< 12 years" "No" "No" 5.00250005722046 "Yes"
"98" 385 "12-15 years" "No" "No" 37.2480010986328 "No"
"99" 390 "< 12 years" "No" "No" 34.6529998779297 "No"
"100" 392 "12-15 years" "No" "No" 16.6049995422363 "No"
"101" 394 "< 12 years" "No" "No" 44.8409996032715 "No"
"102" 398 "12-15 years" "No" "No" 11.6709995269775 "No"
"103" 399 "12-15 years" "No" "No" 20.503999710083 "No"
"104" 405 "16+ years" "No" "No" 6.91300010681152 "No"
"105" 408 "< 12 years" "No" "No" 22.4039993286133 "No"
"106" 410 "< 12 years" "No" "No" 31.4850006103516 "No"
"107" 418 "< 12 years" "No" "No" 3.49650001525879 "Yes"
"108" 425 "< 12 years" "No" "No" 24 "No"
"109" 427 "< 12 years" "No" "No" 33.851001739502 "No"
"110" 428 "12-15 years" "No" "No" 14.576000213623 "No"
"111" 431 "< 12 years" "No" "No" 2.00149989128113 "Yes"
"112" 434 "12-15 years" "No" "No" 52.6629981994629 "No"
"113" 437 "< 12 years" "No" "No" 2.60949993133545 "Yes"
"114" 439 "16+ years" "No" "No" 22.7189998626709 "No"
"115" 445 "12-15 years" "No" "No" 4.58050012588501 "Yes"
"116" 447 "< 12 years" "No" "No" 43.7509994506836 "No"
"117" 449 "< 12 years" "No" "No" 42.0620002746582 "No"
"118" 451 "16+ years" "No" "No" 29.0699996948242 "No"
"119" 454 "16+ years" "No" "No" 29.0699996948242 "No"
"120" 457 "12-15 years" "No" "No" 56.0519981384277 "No"
"121" 462 "12-15 years" "No" "No" 17.0809993743896 "Yes"
"122" 468 "12-15 years" "No" "No" 27.1679992675781 "No"
"123" 470 "< 12 years" "No" "No" 6.00099992752075 "No"
"124" 475 "12-15 years" "No" "No" 5.91900014877319 "Yes"
"125" 477 "12-15 years" "No" "No" 20 "No"
"126" 479 "16+ years" "No" "No" 10.456000328064 "Yes"
"127" 485 "< 12 years" "No" "No" 26.9710006713867 "No"
"128" 493 "< 12 years" "No" "No" 53.8400001525879 "No"
"129" 496 "12-15 years" "Yes" "No" 11.581000328064 "Yes"
"130" 502 "16+ years" "Yes" "No" 22.9759998321533 "No"
"131" 504 "< 12 years" "No" "No" 32.9990005493164 "No"
"132" 508 "12-15 years" "No" "No" 8.36149978637695 "Yes"
"133" 510 "12-15 years" "No" "No" 17.0839996337891 "Yes"
"134" 512 "12-15 years" "No" "No" 8.00300025939941 "No"
"135" 513 "12-15 years" "No" "No" 3.77500009536743 "No"
"136" 520 "12-15 years" "No" "No" 3.56500005722046 "No"
"137" 528 "< 12 years" "No" "No" 4.97700023651123 "No"
"138" 530 "12-15 years" "No" "No" 5.24599981307983 "No"
"139" 537 "12-15 years" "No" "No" 1.25699996948242 "No"
"140" 551 "12-15 years" "No" "No" 0.600000023841858 "No"
"141" 553 "< 12 years" "No" "No" 40.5009994506836 "No"
"142" 559 "12-15 years" "No" "No" 49.0019989013672 "No"
"143" 561 "< 12 years" "No" "No" 6.00150012969971 "Yes"
"144" 566 "12-15 years" "No" "No" 1.87800002098083 "No"
"145" 576 "12-15 years" "Yes" "No" 7.00299978256226 "No"
"146" 579 "12-15 years" "Yes" "No" 7.00299978256226 "No"
"147" 581 "16+ years" "No" "No" 41.1990013122559 "No"
"148" 584 "12-15 years" "No" "No" 47.5460014343262 "No"
