"grad"	"gpa"	"gmat"	"major"	"degree"	"sex"	"ethnic"
"1"	1	3.842	480	203	"P"	"M"	"N"
"2"	1	3.454	510	70	"M"	"F"	"N"
"3"	1	3.75	500	70	"M"	"M"	"N"
"4"	1	3	460	70	"M"	"M"	"N"
"5"	1	3.43	630	203	"P"	"M"	"O"
"6"	1	3.55	680	203	"P"	"M"	"N"
"7"	1	3.785	590	203	"P"	"M"	"N"
"8"	1	3.111	480	2	"M"	"F"	"N"
"9"	1	3.062	510	203	"M"	"M"	"N"
"10"	1	3.818	600	203	"P"	"F"	"N"
"11"	1	3.129	520	203	"M"	"M"	"N"
"12"	1	3.23	650	203	"M"	"M"	"N"
"13"	1	3.909	540	203	"M"	"M"	"N"
"14"	1	3.8	600	203	"M"	"M"	"N"
"15"	1	3.562	630	203	"M"	"M"	"N"
"16"	1	3.764	450	203	"M"	"F"	"N"
"17"	1	3.923	590	70	"M"	"F"	"W"
"18"	1	3.842	530	70	"M"	"M"	"W"
"19"	1	3.461	580	70	"M"	"M"	"W"
"20"	1	3.92	650	203	"P"	"F"	"W"
"21"	1	3.555	670	70	"M"	"M"	"W"
"22"	1	3.5	500	2	"M"	"F"	"W"
"23"	1	2.9	670	203	"M"	"M"	"W"
"24"	1	4	610	70	"M"	"F"	"W"
"25"	1	3.875	700	2	"M"	"M"	"W"
"26"	1	3.066	470	70	"M"	"M"	"W"
"27"	1	3.666	510	70	"M"	"M"	"W"
"28"	1	3.222	500	70	"M"	"F"	"W"
"29"	1	3.642	560	70	"M"	"M"	"W"
"30"	1	3.47	480	70	"M"	"M"	"W"
"31"	1	3.894	500	70	"M"	"F"	"W"
"32"	1	3.5	530	203	"M"	"M"	"W"
"33"	1	3.863	680	203	"P"	"M"	"W"
"34"	1	3.944	670	70	"M"	"M"	"N"
"35"	1	3.5	560	70	"M"	"M"	"W"
"36"	1	4	780	70	"M"	"M"	"W"
"37"	1	4	650	203	"M"	"M"	"O"
"38"	1	4	650	203	"P"	"M"	"O"
"39"	1	3.09	550	70	"M"	"M"	"W"
"40"	1	3.388	530	70	"M"	"F"	"N"
"41"	1	3.625	560	203	"M"	"M"	"W"
"42"	1	3.916	590	203	"M"	"M"	"W"
"43"	1	4	570	70	"M"	"F"	"W"
"44"	1	3.846	520	66	"M"	"M"	"W"
"45"	1	3.5	470	70	"M"	"M"	"W"
"46"	1	3.8	570	70	"M"	"M"	"N"
"47"	1	3.125	490	70	"M"	"F"	"O"
"48"	1	3.071	560	70	"M"	"F"	"W"
"49"	1	3.562	500	70	"M"	"M"	"W"
"50"	1	3.625	670	70	"M"	"M"	"O"
"51"	1	3.166	540	70	"M"	"M"	"W"
"52"	1	3.263	650	70	"M"	"M"	"W"
"53"	1	3.25	530	70	"M"	"F"	"W"
"54"	1	4	620	70	"M"	"M"	"W"
"55"	1	3.666	590	70	"M"	"M"	"W"
"56"	1	3.545	640	203	"M"	"M"	"W"
"57"	1	3.2	540	70	"M"	"F"	"W"
"58"	1	3.583	560	70	"M"	"F"	"W"
"59"	1	3.357	580	70	"M"	"M"	"W"
"60"	1	3.307	540	203	"M"	"M"	"W"
"61"	1	4	620	203	"M"	"M"	"W"
"62"	1	2.866	500	70	"M"	"M"	"W"
"63"	1	3.666	520	70	"M"	"F"	"W"
"64"	1	3.466	500	70	"M"	"M"	"W"
"65"	1	3.473	510	203	"P"	"M"	"W"
"66"	1	3.925	580	203	"P"	"M"	"W"
"67"	1	3.5	530	118	"M"	"M"	"W"
"68"	1	3.2	480	114	"M"	"M"	"N"
"69"	1	3.583	500	70	"M"	"M"	"W"
"70"	1	4	520	70	"M"	"M"	"W"
"71"	1	3.666	500	70	"M"	"F"	"B"
"72"	1	3.5	570	203	"P"	"M"	"W"
"73"	1	3.733	570	70	"M"	"M"	"W"
"74"	1	4	600	203	"P"	"M"	"N"
"75"	1	3.2	490	70	"M"	"M"	"N"
"76"	1	3.944	500	70	"M"	"M"	"W"
"77"	1	3.153	550	70	"M"	"M"	"W"
"78"	1	3.555	590	203	"M"	"M"	"N"
"79"	1	3.307	560	70	"M"	"F"	"W"
"80"	1	3.285	460	66	"M"	"M"	"W"
"81"	1	3.65	560	70	"M"	"F"	"W"
"82"	1	3.636	510	70	"M"	"M"	"W"
"83"	1	3.5	630	70	"M"	"M"	"W"
"84"	1	4	680	70	"M"	"M"	"W"
"85"	1	3.8	520	70	"M"	"M"	"W"
"86"	1	3.764	560	70	"M"	"F"	"W"
"87"	1	3.333	570	203	"M"	"F"	"N"
"88"	1	3.5	490	70	"M"	"M"	"W"
"89"	1	4	628	70	"M"	"M"	"W"
"90"	1	3.3	460	70	"M"	"F"	"W"
"91"	1	3.333	510	70	"M"	"F"	"W"
"92"	1	3.2	490	70	"M"	"M"	"W"
"93"	1	3.437	530	70	"M"	"M"	"W"
"94"	1	3.5	530	2	"M"	"F"	"W"
"95"	1	3.357	540	70	"M"	"M"	"W"
"96"	1	3.47	610	70	"M"	"F"	"W"
"97"	1	3.857	490	70	"M"	"M"	"W"
"98"	1	3.384	470	70	"M"	"M"	"W"
"99"	1	3.562	540	70	"M"	"M"	"W"
"100"	1	3.571	510	70	"M"	"M"	"W"
"101"	1	3.789	630	70	"M"	"M"	"W"
"102"	1	3.875	660	70	"M"	"M"	"W"
"103"	1	3.764	660	70	"M"	"M"	"W"
"104"	1	3.827	680	203	"M"	"M"	"W"
"105"	1	3	570	70	"M"	"M"	"W"
"106"	1	3.642	520	70	"M"	"M"	"W"
"107"	1	3.333	470	70	"M"	"M"	"W"
"108"	1	3.666	490	203	"M"	"M"	"W"
"109"	1	3.692	570	66	"M"	"M"	"W"
"110"	1	3.947	690	203	"M"	"M"	"W"
"111"	1	3.75	530	2	"M"	"F"	"H"
"112"	1	3.5	500	70	"M"	"M"	"W"
"113"	1	3.538	500	70	"M"	"M"	"W"
"114"	1	2.427	500	66	"M"	"M"	"W"
"115"	1	3.25	520	2	"M"	"F"	"W"
"116"	1	3.055	520	70	"M"	"M"	"W"
"117"	1	3.333	550	70	"M"	"M"	"W"
"118"	1	3.333	550	70	"M"	"M"	"N"
"119"	1	3.384	540	70	"M"	"M"	"W"
"120"	1	4	500	2	"M"	"M"	"W"
"121"	1	3.384	540	70	"M"	"M"	"W"
"122"	1	3.076	470	203	"M"	"M"	"H"
"123"	1	3.916	630	70	"M"	"F"	"W"
"124"	1	3.058	520	70	"M"	"M"	"W"
"125"	1	3.529	630	70	"M"	"F"	"W"
"126"	1	3.916	700	70	"M"	"M"	"W"
"127"	1	3.034	550	203	"M"	"M"	"N"
"128"	1	2.371	530	70	"M"	"M"	"W"
"129"	1	3.916	530	70	"M"	"F"	"W"
"130"	1	3.333	500	70	"M"	"F"	"W"
"131"	1	3.529	510	70	"M"	"F"	"W"
"132"	1	3.312	560	66	"M"	"M"	"W"
"133"	1	3.5	580	70	"M"	"F"	"W"
"134"	1	3.411	600	70	"M"	"M"	"W"
"135"	1	3.05	490	70	"M"	"M"	"W"
"136"	1	3.833	530	2	"M"	"M"	"W"
"137"	1	3.785	600	2	"M"	"M"	"W"
"138"	1	3.846	520	2	"M"	"M"	"W"
"139"	1	3.333	500	70	"M"	"F"	"W"
"140"	1	3.333	550	70	"M"	"M"	"W"
"141"	1	3.095	490	70	"M"	"M"	"W"
"142"	1	3.562	570	70	"M"	"M"	"W"
"143"	1	3.571	600	70	"M"	"M"	"W"
"144"	1	3.833	520	2	"M"	"M"	"W"
"145"	1	3.428	530	70	"M"	"F"	"O"
"146"	1	3.812	570	70	"M"	"M"	"W"
"147"	1	3.437	456	203	"P"	"M"	"O"
"148"	1	3.357	480	70	"M"	"M"	"H"
"149"	1	3.916	570	2	"M"	"F"	"W"
"150"	1	3.214	500	70	"M"	"M"	"W"
"151"	1	3.866	580	70	"M"	"F"	"W"
"152"	1	4	660	2	"M"	"F"	"W"
"153"	1	3.437	480	70	"M"	"M"	"W"
"154"	1	3.2	510	70	"M"	"M"	"W"
"155"	1	3.153	480	70	"M"	"M"	"W"
"156"	1	3.25	530	2	"M"	"M"	"W"
"157"	1	3.666	510	2	"M"	"M"	"W"
"158"	1	3.266	480	70	"M"	"M"	"W"
"159"	1	3.642	480	2	"M"	"M"	"W"
"160"	1	3.833	510	2	"M"	"M"	"W"
"161"	1	3.25	540	203	"M"	"M"	"W"
"162"	1	3.666	520	70	"M"	"M"	"W"
"163"	1	3.933	550	2	"M"	"M"	"W"
"164"	1	3.9	670	70	"M"	"F"	"W"
"165"	1	3.181	510	70	"M"	"M"	"W"
"166"	1	3.23	620	203	"M"	"M"	"W"
"167"	1	3.916	470	2	"M"	"F"	"W"
"168"	1	3.25	570	70	"M"	"M"	"W"
"169"	1	3.833	600	70	"M"	"M"	"W"
"170"	1	2.889	610	70	"M"	"M"	"W"
"171"	1	3.333	550	70	"M"	"F"	"W"
"172"	1	3.133	490	70	"M"	"M"	"W"
"173"	1	3.636	570	70	"M"	"M"	"W"
"174"	1	3.333	540	70	"M"	"M"	"W"
"175"	1	3.538	570	203	"M"	"M"	"W"
"176"	1	3.083	550	70	"M"	"M"	"W"
"177"	1	3.833	600	2	"M"	"M"	"W"
"178"	1	3.142	470	70	"M"	"M"	"W"
"179"	1	3.153	610	70	"M"	"F"	"W"
"180"	1	3.235	530	70	"M"	"M"	"W"
"181"	1	3.538	530	70	"M"	"F"	"N"
"182"	1	2.928	480	70	"M"	"M"	"W"
"183"	1	3.5	610	70	"M"	"M"	"W"
"184"	1	3.583	520	70	"M"	"M"	"W"
"185"	1	3.615	670	70	"M"	"M"	"W"
"186"	1	3.333	540	70	"M"	"M"	"W"
"187"	1	3.357	480	70	"M"	"M"	"W"
"188"	1	3.75	510	70	"M"	"M"	"W"
"189"	1	3.583	570	203	"M"	"M"	"W"
"190"	1	3.25	500	70	"M"	"M"	"W"
"191"	1	3.692	490	70	"M"	"F"	"W"
"192"	1	3.916	500	70	"M"	"M"	"W"
"193"	1	3.75	500	2	"M"	"F"	"W"
"194"	1	3.416	530	2	"M"	"F"	"W"
"195"	1	3.642	540	70	"M"	"M"	"W"
"196"	1	3.7	630	203	"P"	"M"	"W"
"197"	1	3.312	600	70	"M"	"M"	"W"
"198"	1	3.666	710	2	"M"	"F"	"W"
"199"	1	3.5	500	70	"M"	"M"	"W"
"200"	1	3.066	510	70	"M"	"M"	"W"
"201"	1	3.175	560	70	"M"	"M"	"W"
"202"	1	3.416	510	70	"M"	"M"	"W"
"203"	1	3.133	520	70	"M"	"M"	"W"
"204"	1	3.166	520	70	"M"	"M"	"W"
"205"	1	3.833	640	2	"M"	"M"	"W"
"206"	1	3.142	520	70	"M"	"M"	"W"
"207"	1	3.166	550	70	"M"	"M"	"W"
"208"	1	3.571	580	2	"M"	"M"	"W"
"209"	1	3.666	490	70	"M"	"F"	"W"
"210"	1	3.5	610	70	"M"	"M"	"W"
"211"	1	3.75	630	70	"M"	"F"	"W"
"212"	1	3.44	580	70	"M"	"M"	"W"
"213"	1	3.312	510	70	"M"	"M"	"W"
"214"	1	3.235	500	70	"M"	"M"	"W"
"215"	1	3.076	600	115	"M"	"M"	"W"
"216"	1	3.833	580	70	"M"	"M"	"W"
"217"	1	3.769	630	70	"M"	"F"	"W"
"218"	1	3.187	550	70	"M"	"M"	"W"
"219"	1	3.583	620	2	"M"	"M"	"W"
"220"	1	3.214	480	70	"M"	"M"	"W"
"221"	1	3.75	580	2	"M"	"F"	"W"
"222"	1	3.153	660	118	"M"	"M"	"W"
"223"	1	3.307	490	70	"M"	"M"	"W"
"224"	1	3.25	510	2	"M"	"M"	"W"
"225"	1	3.333	530	2	"M"	"M"	"W"
"226"	1	4	640	2	"M"	"M"	"W"
"227"	1	3.538	520	203	"M"	"M"	"W"
"228"	1	3.153	540	66	"M"	"M"	"W"
"229"	1	3.538	530	70	"M"	"M"	"W"
"230"	1	3.692	560	70	"M"	"M"	"W"
"231"	1	3.571	530	70	"M"	"M"	"W"
"232"	1	3.25	580	2	"M"	"F"	"W"
"233"	1	3.571	490	70	"M"	"M"	"W"
"234"	1	3	550	70	"M"	"M"	"W"
"235"	1	3.666	480	2	"M"	"M"	"W"
"236"	1	3.647	540	70	"M"	"M"	"W"
"237"	1	3.526	520	70	"M"	"M"	"H"
"238"	1	3.666	510	70	"M"	"M"	"W"
"239"	1	3.277	510	70	"M"	"M"	"W"
"240"	1	3.395	650	2	"M"	"M"	"W"
"241"	1	3.062	510	70	"M"	"M"	"W"
"242"	1	2.575	710	70	"M"	"M"	"W"
"243"	1	3.916	550	66	"M"	"M"	"W"
"244"	1	3.27	490	70	"M"	"M"	"W"
"245"	1	3.352	510	70	"M"	"M"	"W"
"246"	1	3.523	660	203	"M"	"M"	"W"
"247"	1	3.666	550	203	"M"	"M"	"W"
"248"	1	3.066	600	70	"M"	"M"	"W"
"249"	1	3.583	580	203	"M"	"M"	"W"
"250"	1	3.666	550	70	"M"	"F"	"W"
"251"	1	3.23	540	70	"M"	"M"	"W"
"252"	1	3.928	560	70	"M"	"M"	"W"
"253"	1	3.588	500	70	"M"	"F"	"W"
"254"	1	3.4	560	70	"M"	"F"	"W"
"255"	1	3.969	510	70	"M"	"M"	"W"
"256"	1	3.5	570	70	"M"	"F"	"W"
"257"	1	3.5	510	70	"M"	"M"	"W"
"258"	1	3.833	460	70	"M"	"F"	"W"
"259"	1	3.8	540	2	"M"	"F"	"W"
"260"	1	3.411	540	70	"M"	"F"	"W"
"261"	1	3.333	510	70	"M"	"M"	"W"
"262"	1	3.55	500	70	"M"	"M"	"W"
"263"	1	3.384	620	70	"M"	"M"	"W"
"264"	1	3.846	450	70	"M"	"F"	"W"
"265"	1	3.333	540	70	"M"	"M"	"W"
"266"	1	3.307	500	70	"M"	"M"	"W"
"267"	1	3.812	490	70	"M"	"M"	"W"
"268"	1	3.545	470	70	"M"	"F"	"W"
"269"	1	3.95	600	70	"M"	"F"	"W"
"270"	1	3.833	620	70	"M"	"F"	"W"
"271"	1	2.888	580	70	"M"	"M"	"W"
"272"	1	4	540	2	"M"	"F"	"W"
"273"	1	3.7	500	70	"M"	"M"	"W"
"274"	1	3.666	550	70	"M"	"M"	"W"
"275"	1	3.833	620	2	"M"	"F"	"W"
"276"	1	3.187	530	70	"M"	"M"	"W"
"277"	1	3.388	480	114	"M"	"M"	"W"
"278"	1	3.214	500	70	"M"	"M"	"W"
"279"	1	3.083	470	70	"M"	"M"	"W"
"280"	1	3.923	500	70	"M"	"M"	"W"
"281"	1	4	610	2	"M"	"F"	"W"
"282"	1	3.666	480	70	"M"	"F"	"W"
"283"	1	3.047	530	70	"M"	"M"	"W"
"284"	1	3.666	510	70	"M"	"M"	"W"
"285"	1	3.4	410	203	"P"	"M"	"N"
"286"	1	3.166	520	70	"M"	"M"	"W"
"287"	1	3.153	600	70	"M"	"M"	"W"
"288"	1	3.307	530	203	"M"	"M"	"N"
"289"	1	3.588	660	2	"M"	"M"	"W"
"290"	1	3.645	630	70	"M"	"M"	"N"
"291"	1	3	530	70	"M"	"M"	"W"
"292"	1	3.625	540	70	"M"	"F"	"W"
"293"	1	3.2	480	70	"M"	"M"	"N"
"294"	1	3.23	550	70	"M"	"M"	"W"
"295"	1	3.785	550	70	"M"	"F"	"W"
"296"	1	3.75	460	70	"M"	"F"	"W"
"297"	1	3.75	480	70	"M"	"M"	"W"
"298"	1	3.823	540	203	"M"	"F"	"W"
"299"	1	3.082	470	2	"M"	"M"	"W"
"300"	1	3.5	550	2	"M"	"M"	"W"
"301"	1	3.692	530	70	"M"	"M"	"W"
"302"	1	3.214	560	70	"M"	"F"	"W"
"303"	1	3.307	490	70	"M"	"M"	"W"
"304"	1	3.695	570	203	"P"	"M"	"W"
"305"	1	3.263	450	203	"M"	"M"	"W"
"306"	1	3.72	590	70	"M"	"F"	"W"
"307"	1	4	460	70	"M"	"M"	"W"
"308"	1	4	570	70	"M"	"F"	"W"
"309"	1	3.5	510	2	"M"	"F"	"W"
"310"	1	3.388	680	114	"M"	"M"	"W"
"311"	1	3.6	570	70	"M"	"F"	"W"
"312"	1	3.23	490	2	"M"	"F"	"W"
"313"	1	3.117	590	70	"M"	"M"	"W"
"314"	1	3.5	510	115	"M"	"M"	"W"
"315"	1	3.75	560	2	"M"	"M"	"W"
"316"	1	3.307	580	70	"M"	"M"	"W"
"317"	1	3.721	570	70	"M"	"M"	"N"
"318"	1	3.789	570	70	"M"	"F"	"W"
"319"	1	3.187	640	70	"M"	"M"	"W"
"320"	1	3.291	570	70	"M"	"M"	"N"
"321"	1	3.687	580	203	"M"	"M"	"W"
"322"	1	3.166	530	70	"M"	"M"	"W"
"323"	1	3.857	480	70	"M"	"F"	"W"
"324"	1	4	560	70	"M"	"F"	"W"
"325"	1	3.44	480	203	"M"	"M"	"W"
"326"	1	3.636	480	70	"M"	"F"	"W"
"327"	1	3.846	590	70	"M"	"M"	"W"
"328"	1	3.583	500	70	"M"	"M"	"W"
"329"	1	3.687	480	70	"M"	"F"	"W"
"330"	1	3.583	520	70	"M"	"M"	"W"
"331"	1	3.812	670	70	"M"	"F"	"W"
"332"	1	3.437	490	203	"M"	"M"	"W"
"333"	1	3.285	490	70	"M"	"M"	"W"
"334"	1	3.166	460	70	"M"	"M"	"W"
"335"	1	3.818	590	203	"M"	"M"	"W"
"336"	1	3.818	590	203	"P"	"M"	"W"
"337"	1	3.157	510	70	"M"	"M"	"W"
"338"	1	3.666	460	70	"M"	"M"	"W"
"339"	1	3.166	650	2	"M"	"M"	"W"
"340"	1	3.5	570	203	"M"	"M"	"W"
"341"	1	3.916	490	70	"M"	"F"	"W"
"342"	1	3.142	490	70	"M"	"M"	"W"
"343"	1	3.571	580	70	"M"	"F"	"W"
"344"	1	3.583	620	70	"M"	"M"	"W"
"345"	1	3.181	580	70	"M"	"M"	"W"
"346"	1	3.181	500	2	"M"	"F"	"W"
"347"	1	3.071	480	70	"M"	"M"	"W"
"348"	1	3.923	580	70	"M"	"F"	"W"
"349"	1	3.634	600	203	"P"	"M"	"W"
"350"	1	3.333	590	70	"M"	"M"	"W"
"351"	1	3.687	520	203	"M"	"M"	"N"
"352"	1	3.647	470	114	"M"	"M"	"W"
"353"	1	3.578	550	70	"M"	"M"	"W"
"354"	1	3.814	500	2	"M"	"M"	"W"
"355"	1	3.416	610	2	"M"	"M"	"W"
"356"	1	3.166	500	2	"M"	"M"	"W"
"357"	1	3.571	580	70	"M"	"M"	"W"
"358"	1	3.538	490	203	"M"	"M"	"W"
"359"	1	3.75	720	203	"M"	"M"	"W"
"360"	1	3	460	70	"M"	"M"	"W"
"361"	1	3.266	580	70	"M"	"M"	"W"
"362"	1	3.666	600	70	"M"	"M"	"W"
"363"	1	3.357	550	70	"M"	"M"	"W"
"364"	1	3.714	480	66	"M"	"M"	"W"
"365"	1	3.833	630	2	"M"	"M"	"W"
"366"	1	3	520	2	"M"	"F"	"W"
"367"	1	3.25	540	70	"M"	"M"	"W"
"368"	1	4	550	2	"M"	"F"	"W"
"369"	1	3	480	70	"M"	"M"	"W"
"370"	1	3.416	500	70	"M"	"M"	"N"
"371"	1	4	530	70	"M"	"M"	"W"
"372"	1	2.954	550	70	"M"	"M"	"W"
"373"	1	3.444	590	70	"M"	"F"	"W"
"374"	1	3.869	610	203	"P"	"M"	"W"
"375"	1	3.653	660	203	"M"	"M"	"N"
"376"	1	3.714	610	70	"M"	"M"	"W"
"377"	1	3.076	480	2	"M"	"M"	"W"
"378"	1	3.428	580	203	"M"	"M"	"W"
"379"	1	3.266	460	70	"M"	"F"	"W"
"380"	1	3.6	520	70	"M"	"M"	"W"
"381"	1	3.333	630	70	"M"	"M"	"W"
"382"	1	3.25	540	66	"M"	"M"	"W"
"383"	1	3.083	560	70	"M"	"M"	"W"
"384"	1	3.071	470	70	"M"	"F"	"W"
"385"	1	3.545	450	2	"M"	"M"	"W"
"386"	1	3.6	510	70	"M"	"M"	"W"
"387"	1	3.333	540	203	"M"	"M"	"W"
"388"	1	3.971	720	203	"P"	"M"	"W"
"389"	1	3.21	540	70	"M"	"M"	"W"
"390"	1	3.92	630	203	"P"	"M"	"W"
"391"	1	3.333	500	70	"M"	"M"	"W"
"392"	1	3.769	510	70	"M"	"M"	"W"
