,gid,X,id.s,V2,V3,V4,V5,V6,V7,V8,V9,V10,sname,gc,quota,term,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q11,Q12,Q13,Q14,LocationLatitude,LocationLongitude,LocationAccuracy,Survey,GID,Age,Gender
1,200002,1,R_0lnmgZmKPJVMR5r,Default Response Set,Anonymous,NA,NA,50.141.68.12,0,6/11/2015 0:00,6/11/2015 19:03,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,2,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,47,7,1,1,37.82159424,-122,-1,1334124-US,200002,51,Female
2,200003,2,R_9oxINlyMwWX1xPf,Default Response Set,Anonymous,NA,NA,50.163.216.33,0,6/11/2015 0:00,6/11/2015 19:04,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,2,1,1,1,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,7,1,1,41.61819458,-78.78309631,-1,1334124-US,200003,41,Male
3,200004,3,R_6GrOh3tdAm1co29,Default Response Set,Anonymous,NA,NA,173.88.16.27,0,6/11/2015 0:00,6/11/2015 19:03,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,6,2,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35,2,1,1,40.68110657,-84.12789917,-1,1334124-US,200004,23,Male
4,200007,4,R_cuaGB3CeabmUr0F,Default Response Set,Anonymous,NA,NA,104.137.78.63,0,6/11/2015 0:00,6/11/2015 19:04,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,5,1,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,7,1,1,31.08999634,-85.89510345,-1,1334124-US,200007,48,Male
5,200009,5,R_bHlwfS3vypYfMCV,Default Response Set,Anonymous,NA,NA,108.131.80.57,0,6/11/2015 0:00,6/11/2015 19:06,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,2,1,2,2,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,24,7,1,1,31.26220703,-89.27230072,-1,1334124-US,200009,27,Female
6,200010,6,R_6P49Yf5W0SyBPq5,Default Response Set,Anonymous,NA,NA,216.177.129.91,0,6/11/2015 0:00,6/11/2015 19:08,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,5,1,1,6,1,2,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,7,1,1,33.53509521,-117.7052002,-1,1334124-US,200010,40,Male
7,200011,7,R_0omXVaphXLzogy9,Default Response Set,Anonymous,NA,NA,24.12.50.137,0,6/11/2015 0:00,6/11/2015 19:09,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,6,2,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,14,7,1,1,41.4618988,-87.00080109,-1,1334124-US,200011,62,Male
8,200013,8,R_08jJm3fNVdE8S4B,Default Response Set,Anonymous,NA,NA,173.209.212.202,0,6/11/2015 0:00,6/11/2015 19:18,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,3,2,2,1,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,7,1,1,38,-97,-1,1334124-US,200013,28,Female
9,200014,9,R_00r1sSwizd9OOTr,Default Response Set,Anonymous,NA,NA,98.26.206.116,0,6/11/2015 0:00,6/11/2015 19:41,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,33,3,1,1,36.11470032,-79.74220276,-1,1334124-US,200014,55,Female
10,200015,10,R_41QSUHsry8T8wf3,Default Response Set,Anonymous,NA,NA,98.240.190.80,0,6/11/2015 0:00,6/11/2015 20:39,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,4,1,2,6,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,23,7,1,1,45.2572937,-93.27410126,-1,1334124-US,200015,34,Female
11,200016,11,R_8whUliJLZNPWcBL,Default Response Set,Anonymous,NA,NA,108.21.74.251,0,6/11/2015 0:00,6/11/2015 20:39,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,2,1,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,32,7,1,1,40.76370239,-73.77249908,-1,1334124-US,200016,33,Male
12,200017,12,R_eWeTdQYSCvkocgB,Default Response Set,Anonymous,NA,NA,50.53.99.30,0,6/11/2015 0:00,6/11/2015 20:40,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,5,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,37,7,1,1,45.49620056,-122.8018951,-1,1334124-US,200017,45,Female
13,200018,13,R_erF4HzYx57Hxqqp,Default Response Set,Anonymous,NA,NA,68.68.96.108,0,6/11/2015 0:00,6/11/2015 20:39,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,5,2,1,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,32,3,1,1,37.37210083,-121.8643036,-1,1334124-US,200018,35,Female
14,200019,14,R_cI1LdqESgO3mzmR,Default Response Set,Anonymous,NA,NA,173.88.131.188,0,6/11/2015 0:00,6/11/2015 20:41,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,3,2,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,35,7,1,1,40.67520142,-82.60279846,-1,1334124-US,200019,59,Female
15,200020,15,R_1Y5k4SybSOI9xHL,Default Response Set,Anonymous,NA,NA,69.179.229.125,0,6/11/2015 0:00,6/11/2015 20:41,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,4,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,25,7,1,1,38.88960266,-92.22360229,-1,1334124-US,200020,25,Male
16,200021,16,R_8rhRFFYg3C5wKKF,Default Response Set,Anonymous,NA,NA,24.208.61.255,0,6/11/2015 0:00,6/11/2015 20:41,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,4,2,2,2,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,7,1,1,44.24530029,-88.3647995,-1,1334124-US,200021,61,Male
17,200022,17,R_5C5qWnOLzCe7ibX,Default Response Set,Anonymous,NA,NA,68.57.32.164,0,6/11/2015 0:00,6/11/2015 20:43,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,5,1,2,7,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,4,7,1,1,37.03829956,-88.71569824,-1,1334124-US,200022,25,Female
18,200024,18,R_cTPKU5exmvEF1Jj,Default Response Set,Anonymous,NA,NA,63.137.150.235,0,6/11/2015 0:00,6/11/2015 20:45,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,3,1,2,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,44,7,1,1,38.6499939,-90.53340149,-1,1334124-US,200024,30,Male
19,200025,19,R_aXmfDZjQ7aj9nY9,Default Response Set,Anonymous,NA,NA,73.201.14.241,0,6/11/2015 0:00,6/11/2015 20:43,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,2,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,48,7,1,1,39.45620728,-77.96389771,-1,1334124-US,200025,57,Female
20,200026,20,R_cUSku4p3lUFtx5P,Default Response Set,Anonymous,NA,NA,97.88.180.204,0,6/11/2015 0:00,6/11/2015 20:44,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,5,2,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,25,7,1,1,37.33700562,-89.5911026,-1,1334124-US,200026,35,Female
21,200027,21,R_5apHd5604HUtJGZ,Default Response Set,Anonymous,NA,NA,63.141.204.184,0,6/11/2015 0:00,6/11/2015 20:44,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,6,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,32,7,1,1,38.9499054,-77.22229767,-1,1334124-US,200027,25,Male
22,200028,22,R_6zpI7S4ZV1bGT1X,Default Response Set,Anonymous,NA,NA,63.152.68.41,0,6/11/2015 0:00,6/11/2015 20:45,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,4,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,7,1,1,42.02450562,-91.66200256,-1,1334124-US,200028,39,Female
23,200030,23,R_by1mrPAPMuxlWu1,Default Response Set,Anonymous,NA,NA,71.190.240.160,0,6/11/2015 0:00,6/11/2015 20:46,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,4,1,1,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,32,2,1,1,40.72520447,-73.98020172,-1,1334124-US,200030,34,Male
24,200033,24,R_cDgAofIacmg0Azb,Default Response Set,Anonymous,NA,NA,50.189.228.65,0,6/11/2015 0:00,6/11/2015 20:47,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,5,1,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,29,7,1,1,42.89149475,-71.27870178,-1,1334124-US,200033,40,Female
25,200034,25,R_2mGjLRFkf6SAY0B,Default Response Set,Anonymous,NA,NA,108.28.73.176,0,6/11/2015 0:00,6/11/2015 20:48,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,4,1,1,4,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,1,1,38.96899414,-76.85369873,-1,1334124-US,200034,56,Male
26,200035,26,R_9EsrkgUiIBDqKLX,Default Response Set,Anonymous,NA,NA,98.166.180.151,0,6/11/2015 0:00,6/11/2015 20:58,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,4,1,1,3,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,3,1,1,37.06809998,-76.29039764,-1,1334124-US,200035,53,Female
27,200036,27,R_dd7GXBQLsmHlUI5,Default Response Set,Anonymous,NA,NA,70.190.205.195,0,6/11/2015 0:00,6/11/2015 20:48,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,5,2,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,12,1,33.44839478,-112.0739975,-1,1334124-US,200036,37,Male
28,200038,28,R_3F8Rws304ZKqdff,Default Response Set,Anonymous,NA,NA,72.0.186.15,0,6/11/2015 0:00,6/11/2015 20:52,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,4,2,2,3,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,7,1,1,44.26280212,-121.226799,-1,1334124-US,200038,56,Female
