"length"	"width"	"height"	"sex"
"1"	98	81	38	1
"2"	103	84	38	1
"3"	103	86	42	1
"4"	105	86	42	1
"5"	109	88	44	1
"6"	123	92	50	1
"7"	123	95	46	1
"8"	133	99	51	1
"9"	133	102	51	1
"10"	133	102	51	1
"11"	134	100	48	1
"12"	136	102	49	1
"13"	138	98	51	1
"14"	138	99	51	1
"15"	141	105	53	1
"16"	147	108	57	1
"17"	149	107	55	1
"18"	153	107	56	1
"19"	155	115	63	1
"20"	155	117	60	1
"21"	158	115	62	1
"22"	159	118	63	1
"23"	162	124	61	1
"24"	177	132	67	1
"25"	93	74	37	0
"26"	94	78	35	0
"27"	96	80	35	0
"28"	101	84	39	0
"29"	102	85	38	0
"30"	103	81	37	0
"31"	104	83	39	0
"32"	106	83	39	0
"33"	107	82	38	0
"34"	112	89	40	0
"35"	113	88	40	0
"36"	114	86	40	0
"37"	116	90	43	0
"38"	117	90	41	0
"39"	117	91	41	0
"40"	119	93	41	0
"41"	120	89	40	0
"42"	120	93	44	0
"43"	121	95	42	0
"44"	125	93	45	0
"45"	127	96	45	0
"46"	128	95	45	0
"47"	131	95	46	0
"48"	135	106	47	0
